Study Hours,Sleep Hours,Assignment Submitted,Topics to Cover,Topic Difficulty,Learning Capacity,Previous Test Score,Class Participation,Concentration Level,Distraction Time,Health Status,Study Environment,Revision Done,Time Left for Exam,Practice Tests Taken,Topic Familiarity,Predicted Score
9,8.1,Yes,3,High,Medium,85,Low,3,0.4,Sick,Distracting,No,3,1,Revision,83.0
3,8.6,No,7,High,Medium,47,Low,2,1.9,Sick,Quiet,No,2,2,First Time,24.0
9,5.0,No,4,High,Medium,85,Medium,2,2.8,Sick,Quiet,No,3,1,First Time,58.4
4,6.7,No,7,High,Medium,84,Low,2,0.2,Sick,Quiet,Yes,0,1,Revision,46.0
6,5.4,Yes,2,Medium,Medium,66,High,5,3.5,Sick,Distracting,No,3,3,Revision,81.8
8,6.5,Yes,2,Low,Low,62,Medium,1,2.6,Okay,Quiet,No,2,1,Revision,91.8
1,6.2,Yes,3,High,Medium,49,Medium,3,2.1,Sick,Quiet,Yes,1,3,First Time,50.2
4,5.3,No,7,High,Medium,93,Low,3,1.6,Sick,Distracting,Yes,0,1,First Time,28.4
9,7.5,No,6,Medium,High,41,Medium,5,1.6,Healthy,Distracting,Yes,2,3,Revision,96.8
8,4.6,Yes,2,High,Medium,83,Medium,1,1.3,Sick,Quiet,No,1,3,Revision,84.6
2,4.3,No,1,High,Medium,87,Low,1,0.5,Sick,Distracting,No,3,2,First Time,23.6
0,7.8,No,6,Low,High,46,High,5,0.3,Okay,Quiet,No,2,2,First Time,47.8
1,7.3,Yes,5,High,Low,41,High,3,1.2,Okay,Distracting,Yes,4,3,Revision,54.0
5,6.5,Yes,3,High,Low,55,Low,4,2.7,Okay,Distracting,Yes,4,1,First Time,58.6
4,6.3,Yes,3,Low,Medium,93,Medium,4,1.2,Okay,Distracting,No,4,0,Revision,77.2
0,6.5,No,3,High,Low,45,Low,1,3.2,Sick,Distracting,Yes,3,1,Revision,14.6
0,6.2,No,2,Low,Low,55,Low,1,1.5,Okay,Distracting,Yes,2,3,First Time,30.4
3,6.0,No,2,Medium,Low,64,Medium,3,2.5,Sick,Distracting,Yes,1,1,First Time,36.0
3,6.5,Yes,3,Low,Low,84,Medium,1,1.7,Sick,Quiet,No,3,1,First Time,53.6
5,6.6,Yes,3,Low,Medium,49,Low,5,2.0,Okay,Quiet,No,4,3,First Time,82.2
5,7.5,Yes,1,High,Medium,98,Medium,4,1.0,Okay,Quiet,Yes,1,3,First Time,84.0
9,7.6,Yes,4,High,High,91,Medium,4,2.1,Okay,Distracting,No,4,0,First Time,85.6
5,5.9,No,6,High,Medium,48,High,1,0.4,Sick,Quiet,Yes,2,0,Revision,55.0
0,6.1,Yes,6,High,Medium,71,High,5,1.5,Sick,Distracting,No,4,1,First Time,32.2
9,5.9,No,1,Low,Low,71,Low,1,1.8,Healthy,Distracting,No,1,3,Revision,84.2
8,6.7,Yes,3,Medium,Low,41,Low,1,2.8,Sick,Distracting,Yes,3,2,First Time,69.8
6,6.3,No,7,High,Medium,60,Low,5,1.6,Okay,Quiet,No,4,0,First Time,50.4
6,8.4,Yes,2,Low,Medium,87,High,5,2.7,Sick,Distracting,No,3,0,First Time,76.8
6,7.5,No,2,Medium,Low,42,Medium,2,0.7,Okay,Quiet,No,1,1,First Time,59.6
1,8.5,No,3,Medium,Medium,93,Low,4,0.1,Okay,Distracting,No,0,3,First Time,35.8
1,7.5,Yes,4,Medium,Medium,73,High,1,2.0,Okay,Distracting,Yes,0,2,First Time,50.0
5,8.9,No,5,Low,Low,68,Low,3,1.9,Healthy,Quiet,Yes,0,3,Revision,69.4
6,7.2,Yes,5,High,Low,81,High,1,2.7,Sick,Distracting,Yes,3,2,First Time,57.2
2,8.8,No,1,Low,High,96,High,1,1.3,Healthy,Quiet,Yes,1,3,First Time,67.8
3,4.8,Yes,6,High,Medium,59,Medium,3,0.1,Okay,Distracting,Yes,1,2,First Time,52.4
2,4.3,Yes,4,Medium,Low,62,High,4,2.9,Healthy,Quiet,No,1,0,Revision,61.8
6,6.9,Yes,5,Medium,Low,76,Medium,2,3.8,Healthy,Distracting,Yes,1,0,First Time,67.2
6,8.9,No,4,Low,Medium,47,Low,5,1.6,Healthy,Quiet,Yes,1,1,Revision,82.0
3,6.1,No,2,Medium,Medium,83,Medium,2,2.4,Sick,Distracting,Yes,1,1,Revision,47.4
6,5.1,Yes,2,Low,Low,75,Low,1,2.2,Okay,Distracting,Yes,3,0,Revision,75.8
4,6.6,No,7,High,Medium,53,Low,1,2.3,Healthy,Quiet,Yes,4,2,First Time,43.6
0,7.2,Yes,4,Medium,High,62,Medium,3,3.5,Healthy,Distracting,No,3,3,Revision,58.6
9,5.6,No,3,High,Low,66,Low,3,2.9,Okay,Distracting,Yes,1,2,Revision,69.4
3,7.6,Yes,5,Medium,Low,54,Low,1,3.1,Sick,Distracting,No,1,0,First Time,32.6
6,8.9,Yes,5,High,Medium,92,Low,2,0.4,Okay,Distracting,No,3,0,First Time,57.4
1,8.5,Yes,2,Medium,Low,74,Low,2,0.6,Okay,Quiet,No,3,1,Revision,52.8
1,5.5,Yes,7,High,Medium,95,High,4,2.7,Sick,Quiet,Yes,3,2,First Time,42.6
0,5.6,Yes,7,Medium,High,61,High,1,2.2,Okay,Quiet,No,4,2,First Time,42.8
1,5.9,No,6,Low,High,86,Medium,5,3.1,Healthy,Distracting,Yes,1,3,Revision,57.6
9,6.0,No,1,High,High,75,High,5,0.4,Sick,Quiet,Yes,1,3,First Time,94.2
7,4.5,No,5,High,Low,54,High,2,2.3,Okay,Quiet,Yes,3,2,First Time,56.4
7,7.8,No,2,Low,High,96,High,3,1.9,Sick,Quiet,No,0,1,First Time,76.6
7,5.8,Yes,7,Low,Medium,71,High,3,3.4,Healthy,Quiet,Yes,1,0,First Time,87.8
0,8.4,Yes,2,Low,Medium,80,High,2,0.7,Healthy,Distracting,Yes,1,3,Revision,71.8
0,8.6,Yes,4,Medium,High,57,High,4,1.4,Sick,Distracting,Yes,1,1,Revision,56.0
9,4.1,No,4,Low,High,97,Medium,1,0.6,Sick,Quiet,Yes,3,0,Revision,87.0
3,8.9,Yes,6,Medium,Medium,84,Medium,5,1.8,Sick,Distracting,Yes,0,0,First Time,51.6
5,7.6,No,4,Medium,High,70,Medium,2,3.5,Healthy,Distracting,No,4,1,Revision,61.8
7,6.6,No,1,Low,High,80,High,3,2.7,Healthy,Quiet,Yes,2,0,First Time,92.8
1,5.9,No,7,Low,High,75,High,1,3.0,Healthy,Quiet,Yes,2,0,First Time,44.8
2,6.6,Yes,5,Medium,Medium,64,High,5,0.4,Healthy,Quiet,No,1,1,Revision,76.4
5,5.6,No,1,High,Medium,84,Low,4,1.8,Okay,Distracting,No,1,3,First Time,51.6
9,7.1,No,7,High,High,49,High,2,3.4,Healthy,Distracting,No,0,0,First Time,67.0
3,4.5,No,1,Low,Medium,79,Medium,1,3.3,Sick,Quiet,No,0,0,First Time,40.4
1,7.1,No,4,High,High,53,Low,5,4.0,Sick,Quiet,Yes,4,1,Revision,40.8
6,5.4,No,6,Medium,High,87,Low,4,2.1,Okay,Quiet,No,3,0,Revision,65.6
3,4.1,Yes,2,High,High,65,High,3,0.0,Okay,Distracting,No,2,3,First Time,64.2
7,6.8,No,3,Medium,Low,58,High,1,3.6,Okay,Quiet,Yes,0,3,First Time,67.4
7,6.9,No,2,Low,Low,69,Medium,2,3.8,Sick,Quiet,No,4,2,Revision,69.2
6,6.1,No,2,Low,High,97,Medium,5,3.7,Okay,Quiet,No,3,1,First Time,73.8
9,4.4,Yes,2,High,Low,78,High,3,3.1,Okay,Distracting,Yes,0,3,Revision,91.6
8,8.5,No,2,Low,High,51,Medium,3,0.8,Sick,Quiet,No,2,1,Revision,87.4
3,7.1,Yes,1,Low,Low,70,Medium,5,0.6,Sick,Distracting,No,3,1,Revision,70.6
6,4.6,No,4,Medium,High,84,High,5,2.8,Healthy,Quiet,Yes,0,3,Revision,88.6
9,6.6,Yes,4,Medium,Low,86,Medium,5,0.6,Okay,Distracting,No,2,1,First Time,86.0
9,6.5,Yes,2,Medium,Medium,86,Low,1,3.8,Sick,Quiet,Yes,3,0,First Time,83.4
0,4.3,Yes,3,Medium,Medium,57,Low,2,1.8,Okay,Distracting,No,0,2,First Time,34.0
3,7.0,No,5,Low,Low,41,Medium,3,0.1,Healthy,Distracting,Yes,1,2,First Time,53.8
1,8.0,No,2,Medium,High,53,Low,4,0.6,Okay,Quiet,No,2,1,First Time,44.8
8,7.7,No,2,Medium,Low,59,Medium,5,1.2,Okay,Quiet,Yes,3,1,Revision,87.2
4,5.0,No,3,Medium,Low,97,Low,2,2.8,Healthy,Distracting,Yes,2,3,First Time,45.4
2,8.3,Yes,1,High,Medium,78,Medium,4,2.9,Okay,Distracting,Yes,1,3,First Time,57.6
3,5.7,No,2,Medium,Medium,59,High,1,0.9,Healthy,Distracting,Yes,4,1,First Time,52.6
5,8.7,No,3,Low,Medium,73,Medium,3,2.6,Healthy,Distracting,Yes,2,1,Revision,70.4
9,4.4,Yes,1,Low,Low,99,High,2,0.1,Healthy,Quiet,Yes,0,3,Revision,100.0
0,6.4,Yes,1,Medium,Medium,73,Medium,2,0.4,Okay,Quiet,No,1,0,Revision,60.0
6,7.0,Yes,6,High,Medium,76,Medium,3,2.1,Okay,Quiet,No,4,1,Revision,74.8
7,5.2,Yes,7,High,Medium,42,High,3,2.8,Sick,Quiet,No,3,2,First Time,64.8
6,7.9,No,7,High,High,74,Low,5,3.7,Okay,Quiet,Yes,1,1,Revision,63.8
6,7.1,No,6,High,High,72,High,3,1.8,Okay,Distracting,No,1,1,Revision,62.2
8,4.1,Yes,6,Medium,Low,58,Low,2,0.5,Healthy,Quiet,No,2,2,Revision,84.2
3,7.0,Yes,2,Medium,Medium,70,Medium,5,3.7,Healthy,Distracting,Yes,0,3,Revision,81.6
6,6.5,No,7,Low,Low,91,Low,3,1.7,Okay,Quiet,Yes,1,2,First Time,58.6
8,5.0,Yes,1,Low,Low,83,Medium,4,2.0,Okay,Quiet,No,3,0,First Time,90.0
4,9.0,Yes,2,High,Medium,61,High,4,3.4,Okay,Quiet,No,4,2,First Time,65.2
1,8.5,Yes,2,High,Low,66,Low,3,2.3,Sick,Quiet,No,0,3,Revision,45.4
4,5.5,No,4,Low,Medium,77,Medium,2,1.2,Sick,Quiet,Yes,2,3,First Time,56.6
3,6.7,No,5,Low,Medium,67,Low,5,2.2,Healthy,Distracting,No,2,1,Revision,56.0
7,5.6,No,5,High,High,60,High,5,2.5,Okay,Quiet,No,1,3,First Time,71.2
4,7.9,Yes,4,Low,Low,59,Medium,5,3.6,Healthy,Quiet,No,3,2,First Time,72.0
8,8.7,No,7,High,Low,77,High,1,0.9,Sick,Quiet,Yes,2,1,First Time,52.8
8,5.8,Yes,2,Medium,Medium,52,Medium,3,2.2,Sick,Quiet,No,0,0,First Time,82.2
2,8.0,No,3,High,High,68,Low,1,3.7,Sick,Distracting,Yes,3,0,Revision,32.6
9,6.5,Yes,1,Medium,High,60,Low,1,0.2,Healthy,Distracting,Yes,3,2,Revision,100.0
5,6.0,Yes,4,Medium,Low,81,Low,4,0.8,Sick,Distracting,No,4,0,First Time,54.4
5,8.7,No,6,Medium,High,72,Low,5,1.4,Okay,Quiet,No,1,3,First Time,59.8
3,6.6,No,4,Low,Low,71,High,1,2.7,Healthy,Distracting,Yes,3,1,Revision,54.8
9,6.3,Yes,4,Low,Low,87,Medium,2,3.4,Sick,Distracting,Yes,2,0,First Time,78.8
2,7.4,Yes,7,High,High,85,Low,3,0.8,Healthy,Quiet,Yes,1,0,First Time,58.6
0,5.3,Yes,7,Medium,Medium,67,Low,2,1.0,Healthy,Quiet,No,3,0,First Time,38.6
6,5.6,Yes,4,High,Low,89,Low,5,3.3,Healthy,Distracting,No,1,0,Revision,68.6
4,8.7,Yes,5,Medium,Low,53,Low,4,0.6,Sick,Quiet,Yes,3,1,Revision,65.4
9,7.4,No,2,Medium,Low,96,Medium,2,1.0,Sick,Distracting,Yes,1,1,First Time,68.2
6,8.1,Yes,4,High,Low,81,Low,2,2.9,Okay,Quiet,Yes,3,1,Revision,70.0
0,5.4,No,4,High,High,91,Medium,1,0.7,Okay,Quiet,No,4,1,Revision,34.4
7,6.7,No,4,High,High,61,High,2,3.3,Okay,Quiet,Yes,3,0,Revision,76.8
2,8.9,No,3,High,High,76,Low,4,2.0,Okay,Distracting,Yes,3,0,First Time,37.2
6,5.6,No,3,Low,High,73,Low,2,1.8,Okay,Quiet,Yes,0,0,Revision,78.6
2,4.8,Yes,1,Medium,Low,56,High,2,0.5,Healthy,Quiet,No,4,2,Revision,71.6
2,6.6,No,2,Medium,Medium,72,High,5,2.7,Okay,Distracting,No,4,0,First Time,43.8
9,5.9,No,4,Low,Medium,72,Low,4,3.5,Sick,Quiet,Yes,0,2,First Time,76.8
8,4.8,No,1,Medium,High,77,Low,2,2.8,Healthy,Quiet,No,3,3,First Time,80.0
1,8.4,Yes,7,Low,Low,65,High,5,1.3,Okay,Distracting,Yes,4,0,Revision,57.6
3,9.0,No,6,Medium,High,78,Medium,3,2.8,Okay,Quiet,Yes,3,2,First Time,48.4
5,6.8,No,1,Low,Medium,46,Medium,2,2.0,Healthy,Quiet,Yes,4,0,First Time,74.6
2,7.9,No,6,Low,High,64,High,2,3.4,Healthy,Quiet,Yes,3,2,First Time,55.4
9,8.3,Yes,6,Medium,Low,87,Low,5,1.8,Healthy,Distracting,Yes,2,3,First Time,88.8
9,7.5,Yes,2,Medium,Low,90,Low,5,0.9,Healthy,Quiet,No,4,3,Revision,100.0
6,4.2,Yes,3,Medium,Low,69,Low,5,0.4,Okay,Distracting,No,4,0,First Time,65.6
6,4.8,No,2,High,High,80,High,2,1.1,Healthy,Distracting,No,0,3,First Time,66.4
4,4.4,Yes,1,Medium,Medium,72,High,1,2.3,Healthy,Distracting,No,0,1,First Time,64.2
2,4.0,Yes,6,Medium,Low,89,Medium,1,0.7,Okay,Distracting,Yes,2,3,First Time,42.6
1,5.5,Yes,2,Medium,Medium,78,High,5,0.2,Healthy,Distracting,No,3,3,Revision,73.6
3,6.0,No,3,High,Medium,67,Low,1,1.8,Sick,Quiet,No,4,3,First Time,33.4
3,5.2,Yes,1,Medium,High,57,High,3,1.4,Okay,Distracting,No,0,0,Revision,74.6
7,4.3,No,2,Low,High,49,High,1,1.7,Okay,Distracting,Yes,1,1,First Time,73.2
7,6.6,No,7,Low,Medium,98,Low,1,1.8,Healthy,Quiet,Yes,4,0,First Time,67.6
4,5.4,No,7,High,Low,91,Low,2,3.1,Okay,Quiet,Yes,4,1,First Time,29.6
5,8.0,No,4,High,Low,41,High,1,3.8,Okay,Distracting,Yes,4,2,Revision,48.4
7,4.0,Yes,4,High,High,82,High,5,1.0,Okay,Distracting,Yes,0,3,First Time,87.0
0,8.2,Yes,2,High,Low,89,Low,2,3.8,Sick,Distracting,No,1,2,Revision,28.0
4,8.8,No,2,High,Medium,82,Low,1,0.9,Okay,Distracting,No,2,1,Revision,43.6
3,7.6,No,6,Medium,Low,53,High,3,3.0,Sick,Distracting,No,4,1,First Time,25.8
3,7.7,No,7,Low,High,52,High,2,2.7,Sick,Quiet,Yes,2,2,Revision,58.2
1,8.7,No,6,Low,Medium,40,Medium,2,0.2,Okay,Distracting,No,0,1,First Time,29.2
9,5.0,Yes,3,Medium,Medium,71,Low,2,2.9,Okay,Quiet,Yes,3,2,First Time,89.2
0,9.0,Yes,1,High,Low,64,High,1,3.6,Healthy,Distracting,Yes,4,2,First Time,39.8
5,7.9,No,2,Medium,Low,49,Low,5,3.7,Sick,Quiet,No,0,1,First Time,45.8
6,7.6,Yes,1,High,Medium,54,Low,4,2.7,Okay,Distracting,No,2,1,First Time,67.4
4,5.8,Yes,4,Low,High,90,Low,4,3.1,Okay,Quiet,Yes,4,3,Revision,87.4
7,6.7,Yes,1,Low,High,68,Low,4,0.3,Sick,Quiet,No,0,1,First Time,93.8
8,7.3,Yes,5,High,Low,56,High,1,0.6,Sick,Distracting,No,2,2,Revision,74.2
1,7.1,No,7,Medium,High,81,Medium,3,1.0,Okay,Distracting,Yes,1,0,Revision,43.8
3,7.5,Yes,3,High,Medium,93,Medium,2,2.1,Sick,Distracting,No,0,2,First Time,45.8
8,4.4,No,7,High,High,79,High,2,1.5,Okay,Quiet,No,3,0,Revision,69.8
4,5.8,Yes,3,Low,Medium,62,Medium,5,2.6,Okay,Distracting,No,0,2,Revision,77.4
2,6.2,Yes,1,High,Low,46,Low,2,1.8,Sick,Quiet,No,4,3,Revision,52.8
5,5.3,No,3,Medium,High,89,High,5,3.1,Okay,Quiet,No,4,1,First Time,64.4
2,4.9,Yes,1,High,Medium,98,High,1,2.9,Okay,Quiet,Yes,2,2,Revision,65.0
4,4.7,No,1,Low,Low,75,High,4,3.0,Sick,Quiet,Yes,3,3,First Time,59.4
2,5.8,Yes,4,Medium,Medium,45,Low,5,3.3,Healthy,Distracting,Yes,4,1,First Time,56.0
5,6.5,No,7,Medium,High,41,Low,5,3.3,Okay,Distracting,Yes,2,0,First Time,51.4
9,4.3,Yes,1,Low,Medium,84,Low,2,3.1,Okay,Quiet,No,1,1,First Time,89.4
4,8.7,No,3,Low,Low,71,High,1,0.3,Sick,Distracting,Yes,1,1,Revision,54.0
8,7.8,Yes,5,High,Low,92,Low,4,2.5,Sick,Distracting,Yes,2,1,Revision,72.4
2,7.7,No,2,Low,High,83,High,1,0.1,Sick,Quiet,No,3,2,First Time,53.4
5,4.9,Yes,3,Low,Low,44,Low,4,3.0,Sick,Quiet,Yes,2,1,First Time,65.8
7,7.0,No,5,Low,High,58,Low,3,0.2,Sick,Quiet,No,4,2,First Time,71.6
6,6.6,No,3,Low,Low,41,Low,1,3.9,Healthy,Distracting,No,2,3,First Time,54.4
5,8.9,Yes,5,Medium,High,82,Low,3,2.5,Healthy,Quiet,Yes,2,0,First Time,76.2
1,7.7,No,3,Medium,Low,62,Medium,4,0.7,Okay,Quiet,Yes,3,2,First Time,43.2
6,6.9,No,2,Medium,High,79,Low,5,1.9,Okay,Quiet,No,1,0,First Time,71.0
7,8.3,Yes,4,Low,Medium,43,Medium,3,3.3,Healthy,Distracting,Yes,2,1,First Time,84.8
0,4.8,Yes,4,High,Medium,43,High,4,0.7,Healthy,Distracting,No,0,3,Revision,55.2
8,4.1,Yes,2,High,High,50,High,4,2.1,Sick,Quiet,Yes,2,1,Revision,97.0
3,7.5,No,3,High,Low,85,Medium,3,0.0,Okay,Distracting,No,0,0,Revision,43.0
7,4.5,No,7,High,Low,80,High,1,3.2,Sick,Quiet,No,3,3,First Time,40.6
9,4.6,Yes,5,Medium,High,59,Low,5,0.8,Sick,Distracting,No,1,2,First Time,83.6
6,7.7,No,1,High,Low,97,Medium,4,1.5,Sick,Distracting,Yes,2,1,First Time,52.6
9,5.4,Yes,3,Medium,High,53,Medium,1,2.1,Okay,Quiet,Yes,0,3,First Time,99.6
6,7.1,No,2,High,Medium,99,High,4,0.6,Okay,Quiet,No,0,2,First Time,69.6
1,8.6,Yes,6,High,High,74,High,4,3.7,Sick,Quiet,No,1,2,Revision,50.4
0,5.6,No,4,Medium,Low,98,Medium,4,1.9,Okay,Quiet,No,3,2,Revision,35.4
3,5.1,Yes,4,Medium,Low,84,High,1,0.9,Healthy,Distracting,Yes,3,3,Revision,69.4
1,4.5,Yes,3,High,High,53,Medium,2,2.9,Sick,Quiet,Yes,4,3,First Time,48.2
7,4.7,Yes,5,Low,High,88,Medium,5,3.6,Sick,Distracting,Yes,3,0,First Time,79.2
9,4.3,No,7,High,High,42,Medium,5,3.7,Sick,Quiet,No,3,0,Revision,68.2
6,4.4,No,7,High,High,54,Low,2,1.7,Sick,Quiet,Yes,3,2,First Time,47.4
7,6.2,No,2,High,Medium,60,Low,4,1.4,Sick,Quiet,Yes,2,0,Revision,71.6
5,5.6,Yes,2,Medium,Low,41,High,2,3.7,Healthy,Quiet,Yes,4,2,First Time,76.8
0,7.5,No,5,High,Low,60,Medium,3,0.2,Sick,Distracting,No,3,2,Revision,20.6
8,8.4,No,5,Low,High,96,High,3,3.0,Okay,Distracting,Yes,0,3,Revision,88.2
5,7.9,Yes,7,High,High,49,Low,1,0.7,Okay,Quiet,Yes,1,1,First Time,63.8
9,6.7,Yes,3,Low,High,66,High,1,1.9,Healthy,Quiet,No,0,3,Revision,100.0
0,4.5,Yes,7,Low,Medium,93,Medium,3,3.8,Sick,Distracting,Yes,1,0,First Time,30.4
0,7.5,Yes,3,Low,Medium,86,Medium,2,2.3,Healthy,Quiet,No,2,0,Revision,62.4
7,5.8,No,6,High,High,58,Low,1,2.1,Healthy,Quiet,Yes,2,2,First Time,64.4
5,4.4,Yes,4,Medium,Low,92,Medium,2,0.2,Okay,Quiet,Yes,2,2,First Time,69.4
7,8.2,No,4,Medium,Medium,51,High,1,1.1,Sick,Distracting,No,2,0,First Time,53.4
7,5.7,Yes,5,High,Low,88,Medium,5,0.0,Sick,Distracting,No,0,1,First Time,63.4
7,5.1,No,1,High,Medium,55,Low,2,3.5,Sick,Distracting,Yes,0,0,First Time,49.2
9,8.4,Yes,1,Low,High,47,Medium,3,2.6,Healthy,Distracting,No,2,2,Revision,100.0
6,8.5,Yes,1,High,High,96,Low,3,0.5,Sick,Quiet,No,1,3,Revision,86.0
6,5.7,Yes,2,Medium,Low,76,Medium,1,1.5,Healthy,Distracting,Yes,1,1,Revision,81.4
9,5.8,Yes,3,High,High,64,Low,2,3.2,Healthy,Quiet,No,0,3,First Time,92.2
3,6.9,Yes,5,High,Low,63,Low,4,0.6,Okay,Quiet,No,3,3,Revision,62.6
8,7.7,No,4,High,High,86,Medium,3,0.9,Sick,Distracting,Yes,0,3,First Time,69.8
1,4.3,No,1,Low,High,79,High,3,2.2,Healthy,Distracting,No,3,0,Revision,56.2
8,7.0,No,4,High,Low,57,Low,2,0.6,Okay,Distracting,No,3,3,Revision,64.8
9,8.8,No,3,High,High,60,Medium,2,1.5,Okay,Distracting,Yes,0,3,First Time,76.4
2,5.3,No,6,High,Medium,99,High,1,3.9,Sick,Distracting,No,4,2,Revision,22.8
1,8.5,Yes,6,Medium,High,47,High,4,2.2,Okay,Distracting,No,2,3,Revision,59.6
3,8.8,Yes,5,Low,Low,58,High,3,2.8,Okay,Quiet,No,3,3,First Time,60.8
4,5.3,No,1,Low,High,88,High,2,2.7,Healthy,Quiet,Yes,2,2,First Time,75.2
1,7.8,No,1,Medium,Medium,69,Low,3,0.8,Okay,Quiet,Yes,1,1,First Time,44.8
0,5.2,No,6,Low,High,66,Low,4,3.4,Healthy,Quiet,Yes,1,1,First Time,39.6
9,7.7,No,5,Medium,High,75,Low,5,0.5,Sick,Distracting,No,4,2,First Time,72.6
4,8.0,No,4,Low,Medium,75,High,5,3.7,Healthy,Distracting,Yes,4,0,Revision,69.6
8,5.2,Yes,3,Low,High,65,Low,4,0.9,Healthy,Quiet,Yes,4,0,First Time,100.0
4,7.6,No,6,Low,High,59,Medium,2,3.8,Okay,Distracting,No,1,1,First Time,44.2
9,8.1,Yes,6,High,Low,91,High,5,3.2,Sick,Distracting,Yes,3,1,Revision,81.4
8,5.8,No,3,Low,Low,80,Medium,2,0.7,Okay,Distracting,No,1,3,First Time,69.2
9,4.8,Yes,3,High,Low,98,High,1,0.6,Healthy,Quiet,Yes,1,3,First Time,94.4
5,4.5,No,6,High,Low,53,Medium,3,0.3,Healthy,Distracting,Yes,1,0,Revision,52.4
2,6.9,No,4,High,Medium,72,Medium,1,1.0,Healthy,Distracting,Yes,0,0,Revision,45.8
3,8.9,Yes,4,Medium,Low,48,Medium,5,2.6,Sick,Distracting,No,0,3,Revision,56.0
3,8.1,Yes,1,Low,Low,62,Low,5,2.1,Sick,Distracting,No,3,2,Revision,64.6
0,6.2,Yes,4,Low,High,84,Low,2,2.5,Sick,Quiet,Yes,2,3,First Time,52.4
2,6.7,No,2,Low,Medium,69,High,5,0.1,Okay,Quiet,Yes,4,2,First Time,67.2
2,5.4,No,5,High,Medium,92,Low,2,0.3,Okay,Distracting,Yes,3,0,Revision,36.2
0,4.8,No,4,Low,Low,89,Low,4,2.8,Okay,Quiet,No,1,3,First Time,28.0
8,6.4,No,3,High,High,81,Low,5,3.4,Okay,Quiet,No,0,2,Revision,80.0
0,6.3,Yes,4,High,Medium,67,High,4,1.4,Sick,Distracting,Yes,1,2,Revision,49.8
8,6.6,Yes,1,High,Medium,97,High,4,0.7,Sick,Distracting,No,2,0,Revision,90.8
0,8.8,Yes,7,High,Low,70,Low,3,1.2,Healthy,Quiet,No,4,3,First Time,34.0
1,7.0,Yes,5,Low,Low,65,High,2,1.6,Sick,Distracting,No,2,3,First Time,43.8
1,7.0,Yes,5,High,Low,75,High,4,2.5,Okay,Distracting,Yes,2,0,Revision,50.0
5,4.6,Yes,3,Medium,High,98,High,3,1.6,Okay,Distracting,Yes,2,2,Revision,86.0
6,9.0,Yes,5,Medium,Low,86,Low,5,3.6,Okay,Quiet,No,1,2,Revision,72.8
0,7.9,No,2,Medium,Medium,75,Low,5,1.6,Sick,Distracting,Yes,2,1,Revision,37.0
2,8.4,No,5,High,Medium,91,Medium,4,0.7,Sick,Quiet,Yes,3,2,First Time,37.8
1,6.1,Yes,6,Low,Low,50,Medium,5,1.0,Sick,Distracting,Yes,0,0,Revision,53.2
7,6.5,Yes,3,Low,Medium,51,Medium,2,1.9,Sick,Distracting,Yes,3,2,First Time,81.2
8,6.6,No,5,High,High,84,High,5,3.1,Okay,Quiet,No,4,3,First Time,77.0
1,5.0,Yes,4,High,Low,41,Medium,1,3.5,Sick,Quiet,No,4,1,Revision,33.0
1,7.4,No,1,High,Medium,79,Medium,5,0.7,Healthy,Distracting,No,4,1,Revision,49.8
9,8.5,No,6,Medium,Medium,43,High,4,0.0,Healthy,Distracting,No,1,0,Revision,85.0
8,4.8,Yes,6,High,Low,71,High,3,3.5,Sick,Quiet,No,4,3,First Time,66.6
3,4.4,No,4,High,Medium,80,Low,2,0.9,Healthy,Quiet,No,0,1,First Time,38.0
4,7.7,No,7,Low,Medium,73,Medium,2,3.3,Sick,Distracting,Yes,1,0,Revision,46.0
8,5.4,No,6,Low,Low,94,Low,3,2.2,Healthy,Quiet,Yes,1,0,First Time,70.4
5,7.1,Yes,2,Medium,High,44,High,2,1.6,Sick,Quiet,Yes,1,3,Revision,93.6
9,7.5,Yes,2,Medium,Medium,44,Medium,4,0.6,Sick,Quiet,No,4,2,First Time,95.8
8,5.6,No,1,Medium,High,94,Medium,4,2.7,Sick,Distracting,No,3,3,First Time,72.8
8,8.1,Yes,1,Medium,High,43,Medium,3,3.3,Okay,Quiet,Yes,3,1,Revision,100.0
6,6.7,No,1,High,High,90,Low,4,1.8,Healthy,Distracting,Yes,4,1,First Time,69.8
9,8.3,No,1,High,High,80,Medium,1,1.8,Healthy,Distracting,No,3,2,First Time,76.8
8,7.8,Yes,5,Medium,High,51,Low,4,3.0,Sick,Quiet,Yes,2,0,Revision,92.4
4,8.3,No,6,Medium,Medium,74,Low,2,2.0,Okay,Quiet,Yes,0,2,First Time,46.4
4,4.1,No,4,Low,Medium,76,High,3,3.1,Okay,Distracting,No,4,1,Revision,53.0
7,5.2,No,2,Low,High,73,Medium,1,0.2,Okay,Quiet,No,3,1,Revision,84.0
9,4.5,No,5,Low,Low,94,Low,4,3.4,Okay,Distracting,Yes,3,1,Revision,72.2
3,6.2,No,1,Medium,High,84,Medium,1,1.0,Healthy,Distracting,Yes,3,2,Revision,67.4
8,8.4,No,3,Low,Low,67,Medium,5,0.7,Okay,Quiet,Yes,3,2,First Time,83.8
6,6.3,No,3,Medium,Medium,98,High,5,0.1,Healthy,Quiet,No,3,3,Revision,89.4
